npi,communityId,from_npi,providername,grouping,classification,specialization,to_npi,organization_name,patient_count,transaction_count,average_day_wait,std_day_wait,specialization_cleaned
1003013160,1338,1003013160,WILLIAM GRABENSTEIN,Allopathic & Osteopathic Physicians,Family Medicine,,1629025648,SAINT THOMAS WEST HOSPITAL,33,51,29.255,42.491,Family Medicine
1003050972,1359,1003050972,ROBERT LENTZ,Allopathic & Osteopathic Physicians,Internal Medicine,Pulmonary Disease,1396882205,VANDERBILT UNIVERSITY MEDICAL CENTER,190,260,2.1,7.758,Pulmonary Disease
1003063314,1359,1003063314,LYNN HOLLIDAY,Allopathic & Osteopathic Physicians,Family Medicine,,1396882205,VANDERBILT UNIVERSITY MEDICAL CENTER,358,387,29.708,53.033,Family Medicine
1003071333,1355,1003071333,JAYASHREE NATHAN,Allopathic & Osteopathic Physicians,Family Medicine,,1568551455,NASHVILLE GENERAL HOSPITAL,56,175,0.137,1.279,Family Medicine
1003075862,1374,1003075862,AKASHIA ANDERSON,Allopathic & Osteopathic Physicians,Family Medicine,,1164590386,SAINT THOMAS RUTHERFORD HOSPITAL,138,250,28.272,62.354,Family Medicine
1003113200,1336,1003113200,DISHA AWASTHI,Allopathic & Osteopathic Physicians,Internal Medicine,Critical Care Medicine,1538114434,HENDERSONVILLE HOSPITAL CORPORATION,297,443,7.752,28.212,Critical Care Medicine
1003113200,1336,1003113200,DISHA AWASTHI,Allopathic & Osteopathic Physicians,Internal Medicine,Critical Care Medicine,1447571658,SUMNER REGIONAL MEDICAL CENTER LLC,54,62,37.887,53.707,Critical Care Medicine
1003198359,1374,1003198359,PETER MEADOWS,Allopathic & Osteopathic Physicians,Internal Medicine,,1164590386,SAINT THOMAS RUTHERFORD HOSPITAL,345,359,0.017,0.317,Internal Medicine
1003801788,1340,1003801788,JOHN ANDERSON,Allopathic & Osteopathic Physicians,Internal Medicine,,1023055126,"HCA HEALTH SERVICES OF TENNESSEE, INC.",342,692,4.698,20.879,Internal Medicine
1003801788,1340,1003801788,JOHN ANDERSON,Allopathic & Osteopathic Physicians,Internal Medicine,,1396882205,VANDERBILT UNIVERSITY MEDICAL CENTER,38,61,44.984,49.696,Internal Medicine
1003813874,1374,1003813874,KEITH WEBB,Allopathic & Osteopathic Physicians,Internal Medicine,,1518346469,"SAINT THOMAS RIVER PARK HOSPITAL, LLC",442,815,5.293,25.236,Internal Medicine
1003813874,1374,1003813874,KEITH WEBB,Allopathic & Osteopathic Physicians,Internal Medicine,,1710368220,"SAINT THOMAS RIVER PARK HOSPITAL, LLC",119,234,2.88,18.189,Internal Medicine
1003813874,1374,1003813874,KEITH WEBB,Allopathic & Osteopathic Physicians,Internal Medicine,,1508247016,"SAINT THOMAS RIVER PARK HOSPITAL, LLC",384,835,2.339,16.804,Internal Medicine
1003813874,1374,1003813874,KEITH WEBB,Allopathic & Osteopathic Physicians,Internal Medicine,,1912388422,"SAINT THOMAS RIVER PARK HOSPITAL, LLC",73,173,3.04,19.876,Internal Medicine
1003819277,1353,1003819277,JOHN CAGE,Allopathic & Osteopathic Physicians,Internal Medicine,Cardiovascular Disease,1538114434,HENDERSONVILLE HOSPITAL CORPORATION,83,115,49.513,67.146,Cardiovascular Disease
1003819277,1353,1003819277,JOHN CAGE,Allopathic & Osteopathic Physicians,Internal Medicine,Cardiovascular Disease,1265445506,WILLIAMSON COUNTY HOSPITAL DISTRICT,23,52,29.519,49.279,Cardiovascular Disease
1003819277,1353,1003819277,JOHN CAGE,Allopathic & Osteopathic Physicians,Internal Medicine,Cardiovascular Disease,1780778969,SAINT THOMAS WEST HOSPITAL,514,673,9.514,33.688,Cardiovascular Disease
1003819277,1353,1003819277,JOHN CAGE,Allopathic & Osteopathic Physicians,Internal Medicine,Cardiovascular Disease,1669567897,NORTHCREST MEDICAL CENTER,32,52,38.788,62.297,Cardiovascular Disease
1003819277,1353,1003819277,JOHN CAGE,Allopathic & Osteopathic Physicians,Internal Medicine,Cardiovascular Disease,1447571658,SUMNER REGIONAL MEDICAL CENTER LLC,76,121,38.628,52.763,Cardiovascular Disease
1003854258,1374,1003854258,KEITH YOUNG,Allopathic & Osteopathic Physicians,Family Medicine,,1447639398,"SAINT THOMAS STONES RIVER HOSPITAL, LLC",113,123,7.016,28.206,Family Medicine
1003860982,1337,1003860982,CHRISTI WITHERSPOON,Allopathic & Osteopathic Physicians,Internal Medicine,,1982650024,"HCA HEALTH SERVICES OF TENNESSEE, INC.",133,212,23.34,39.767,Internal Medicine
1003860982,1337,1003860982,CHRISTI WITHERSPOON,Allopathic & Osteopathic Physicians,Internal Medicine,,1396882205,VANDERBILT UNIVERSITY MEDICAL CENTER,33,60,31.267,36.033,Internal Medicine
1003876236,1332,1003876236,KARL KUHN,Allopathic & Osteopathic Physicians,Internal Medicine,Pulmonary Disease,1720032345,"HCA HEALTH SERVICES OF TENNESSEE, INC.",357,672,16.321,40.419,Pulmonary Disease
1003897380,1337,1003897380,ROBERT GASTON,Allopathic & Osteopathic Physicians,Family Medicine,,1982650024,"HCA HEALTH SERVICES OF TENNESSEE, INC.",393,722,24.035,42.049,Family Medicine
1003897380,1337,1003897380,ROBERT GASTON,Allopathic & Osteopathic Physicians,Family Medicine,,1396882205,VANDERBILT UNIVERSITY MEDICAL CENTER,66,106,38.123,49.166,Family Medicine
1003903139,1359,1003903139,JASON PEREIRA,Allopathic & Osteopathic Physicians,Internal Medicine,,1396882205,VANDERBILT UNIVERSITY MEDICAL CENTER,413,1104,1.535,12.127,Internal Medicine
1013092089,1359,1013092089,DAVID ARONOFF,Allopathic & Osteopathic Physicians,Internal Medicine,Infectious Disease,1396882205,VANDERBILT UNIVERSITY MEDICAL CENTER,64,65,10.308,14.597,Infectious Disease
1013179860,1336,1013179860,GARY YAWN,Allopathic & Osteopathic Physicians,Internal Medicine,Interventional Cardiology,1417938846,"MACON COUNTY GENERAL HOSPITAL, INC.",121,151,34.874,53.821,Interventional Cardiology
1013179860,1336,1013179860,GARY YAWN,Allopathic & Osteopathic Physicians,Internal Medicine,Interventional Cardiology,1538114434,HENDERSONVILLE HOSPITAL CORPORATION,1057,1512,9.465,33.236,Interventional Cardiology
1013179860,1336,1013179860,GARY YAWN,Allopathic & Osteopathic Physicians,Internal Medicine,Interventional Cardiology,1023055126,"HCA HEALTH SERVICES OF TENNESSEE, INC.",197,209,45.148,65.251,Interventional Cardiology
1013179860,1336,1013179860,GARY YAWN,Allopathic & Osteopathic Physicians,Internal Medicine,Interventional Cardiology,1285644237,"SUMNER REGIONAL HEALTH SYSTEMS, INC",57,62,49.21,73.589,Interventional Cardiology
1013179860,1336,1013179860,GARY YAWN,Allopathic & Osteopathic Physicians,Internal Medicine,Interventional Cardiology,1669567897,NORTHCREST MEDICAL CENTER,440,633,11.946,33.216,Interventional Cardiology
1013179860,1336,1013179860,GARY YAWN,Allopathic & Osteopathic Physicians,Internal Medicine,Interventional Cardiology,1447571658,SUMNER REGIONAL MEDICAL CENTER LLC,588,809,23.34,52.496,Interventional Cardiology
