org_name,communityId,owning_entity,org_address,org_location,latitude,longitude
"HCA HEALTH SERVICES OF TENNESSEE, INC.",1340,HCA Healthcare,"1 Park Plaza, Nashville, TN 37203","Park Plaza, Nashville, Davidson County, Middle Tennessee, Tennessee, 37203, United States",36.1510858,-86.8164679
SRHS HOLDINGS LLC,1340,LifePoint Health,"4971 Southridge Blvd, Suite 115, Memphis, TN 38141",,,
"MACON HOSPITAL, INC.",1336,LifePoint Health,"305 West Locust Street Lafayette, Tennessee 37083","305, West Locust Street, Lafayette, Macon County, Middle Tennessee, Tennessee, 37083, United States",36.5195573,-86.0269343
HTI MEMORIAL HOSPITAL CORPORATION,1334,HCA Healthcare,"3441 Dickerson Pike, Nashville, TN 37207","Tristar Skyline Medical Center, 3441, Dickerson Pike, Nashville, Davidson County, Middle Tennessee, Tennessee, 37207, United States",36.2450987,-86.7495457
RIVERVIEW MEDICAL CENTER LLC,1337,LifePoint Health,"158 Hospital Dr, Carthage, TN 37030","Riverview Regional Medical Center, 158, Hospital Drive, Carthage, Smith County, Middle Tennessee, Tennessee, 37030, United States",36.264438,-85.9500813
"HCA HEALTH SERVICES OF TENNESSEE, INC.",1332,HCA Healthcare,"1 Park Plaza, Nashville, TN 37203","Park Plaza, Nashville, Davidson County, Middle Tennessee, Tennessee, 37203, United States",36.1510858,-86.8164679
"HCA HEALTH SERVICES OF TENNESSEE, INC.",1337,HCA Healthcare,"1 Park Plaza, Nashville, TN 37203","Park Plaza, Nashville, Davidson County, Middle Tennessee, Tennessee, 37203, United States",36.1510858,-86.8164679
SAINT THOMAS RUTHERFORD HOSPITAL,1374,Ascension Saint Thomas,"1700 Medical Center Pkwy, Murfreesboro, TN 37129","Saint Thomas Rutherford Hospital, 1700, Medical Center Parkway, Battleground Estates, Murfreesboro, Rutherford County, Middle Tennessee, Tennessee, 37129, United States",35.8607444,-86.4243634
SELECT SPECIALTY HOSPITAL - NASHVILLE LLC,1353,Select Medical,"2000 Hayes St, Suite 1502, Nashville, TN 37203",,,
VANDERBILT UNIVERSITY MEDICAL CENTER,1337,Vanderbilt University Medical Center,"1211 Medical Center Dr, Nashville, TN 37232","Vanderbilt University Medical Center, 1211, Medical Center Drive, Nashville, Davidson County, Middle Tennessee, Tennessee, 37232, United States",36.1409238,-86.8016342
"TCMC MADISON-PORTLAND, INC.",1334,HCA Healthcare,"500 Hospital Dr, Madison, TN 37115","TriStar Skyline Madison Campus, 500, Hospital Drive, Nashville, Davidson County, Middle Tennessee, Tennessee, 37115, United States",36.2547756,-86.6824968
SMITH COUNTY MEMORIAL HOSPITAL LLC,1337,LifePoint Health,"158 Hospital Dr., Carthage, TN 37030","Riverview Regional Medical Center, 158, Hospital Drive, Carthage, Smith County, Middle Tennessee, Tennessee, 37030, United States",36.264438,-85.9500813
WILLIAMSON COUNTY HOSPITAL DISTRICT,1381,Williamson County Hospital District,"4321 Carothers Parkway, Franklin, TN 37067","Williamson Medical Center, 4321, Carothers Parkway, Franklin, Williamson County, Middle Tennessee, Tennessee, 37067, United States",35.9163458,-86.8202183
"HCA HEALTH SERVICES OF TENNESSEE, INC.",1340,HCA Healthcare,"1 Park Plaza, Nashville, TN 37203","Park Plaza, Nashville, Davidson County, Middle Tennessee, Tennessee, 37203, United States",36.1510858,-86.8164679
"SUMNER REGIONAL HEALTH SYSTEMS, INC",1336,LifePoint Health,"555 Hartsville Pike, Gallatin, TN 37066","Summer Regional Medical Center, 555, Hartsville Pike, Gallatin, Sumner County, Middle Tennessee, Tennessee, 37066, United States",36.3897223,-86.4336503
HTI MEMORIAL HOSPITAL CORPORATION,1334,HCA Healthcare,"3441 Dickerson Pike, Nashville, TN 37207","Tristar Skyline Medical Center, 3441, Dickerson Pike, Nashville, Davidson County, Middle Tennessee, Tennessee, 37207, United States",36.2450987,-86.7495457
VANDERBILT UNIVERSITY MEDICAL CENTER,1337,Vanderbilt University Medical Center,"1211 Medical Center Dr, Nashville, TN 37232","Vanderbilt University Medical Center, 1211, Medical Center Drive, Nashville, Davidson County, Middle Tennessee, Tennessee, 37232, United States",36.1409238,-86.8016342
"HCA HEALTH SERVICES OF TENNESSEE, INC.",1337,HCA Healthcare,"1 Park Plaza, Nashville, TN 37203","Park Plaza, Nashville, Davidson County, Middle Tennessee, Tennessee, 37203, United States",36.1510858,-86.8164679
"RIVERVIEW MEDICAL CENTER, LLC",1337,LifePoint Health,"158 Hospital Drive, Carthage, TN 37030","Riverview Regional Medical Center, 158, Hospital Drive, Carthage, Smith County, Middle Tennessee, Tennessee, 37030, United States",36.264438,-85.9500813
VANDERBILT UNIVERSITY MEDICAL CENTER,1359,Vanderbilt University Medical Center,"1211 Medical Center Dr, Nashville, TN 37232","Vanderbilt University Medical Center, 1211, Medical Center Drive, Nashville, Davidson County, Middle Tennessee, Tennessee, 37232, United States",36.1409238,-86.8016342
CENTRAL TENNESSEE HOSPITAL CORPORATION,1344,HCA Healthcare,"111 Highway 70 E, Dickson, TN 37055",,,
HTI MEMORIAL HOSPITAL CORPORATION,1334,HCA Healthcare,"3441 Dickerson Pike, Nashville, TN 37207","Tristar Skyline Medical Center, 3441, Dickerson Pike, Nashville, Davidson County, Middle Tennessee, Tennessee, 37207, United States",36.2450987,-86.7495457
"MACON COUNTY GENERAL HOSPITAL, INC.",1336,LifePoint Health,"305 West Locust Street, Lafayette, Tennessee 37083","305, West Locust Street, Lafayette, Macon County, Middle Tennessee, Tennessee, 37083, United States",36.5195573,-86.0269343
SUMNER REGIONAL MEDICAL CENTER LLC,1336,LifePoint Health,"555 Hartsville Pike, Gallatin, TN 37066","Summer Regional Medical Center, 555, Hartsville Pike, Gallatin, Sumner County, Middle Tennessee, Tennessee, 37066, United States",36.3897223,-86.4336503
"SAINT THOMAS STONES RIVER HOSPITAL, LLC",1374,Ascension Saint Thomas,"324 Doolittle Rd, Woodbury, TN 37190","Saint Thomas Stones River Hospital, 324, Doolittle Road, Woodbury, Cannon County, Middle Tennessee, Tennessee, 37190, United States",35.8329005,-86.0720264
"HCA HEALTH SERVICES OF TENNESSEE, INC.",1332,HCA Healthcare,"1 Park Plaza, Nashville, TN 37203","Park Plaza, Nashville, Davidson County, Middle Tennessee, Tennessee, 37203, United States",36.1510858,-86.8164679
TROUSDALE MEDICAL CENTER LLC,1336,LifePoint Health,"500 Church Street, Hartsville, TN 37074","Trousdale Medical Center, 500, Church Street, Hartsville, Trousdale County, Middle Tennessee, Tennessee, 37074, United States",36.3879675,-86.1682092
"SAINT THOMAS RIVER PARK HOSPITAL, LLC",1374,Ascension Saint Thomas,"1559 Sparta St, McMinnville, TN 37110","St Thomas River Park Hospital, 1559, Sparta Street, McMinnville, Warren County, Middle Tennessee, Tennessee, 37110, United States",35.6998452,-85.742835
"SAINT THOMAS RIVER PARK HOSPITAL, LLC",1374,Ascension Saint Thomas,"1559 Sparta St, McMinnville, TN 37110","St Thomas River Park Hospital, 1559, Sparta Street, McMinnville, Warren County, Middle Tennessee, Tennessee, 37110, United States",35.6998452,-85.742835
HENDERSONVILLE HOSPITAL CORPORATION,1336,HCA Healthcare,"355 New Shackle Island Rd, Hendersonville, TN 37075","TriStar Hendersonville, 355, New Shackle Island Road, Glen Oaks, Hendersonville, Sumner County, Middle Tennessee, Tennessee, 37075, United States",36.3254227,-86.6227582
